Comment,Description,Designator,Footprint,LibRef,Quantity,Value,LCSC Part #
,,,,,,,
CAP_1608,Capacitor 1608,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26",C1608_N,CAP_1608,24,0.1uF,C14663
CAP_1608,Capacitor 1608,"C12, C13",C1608_N,CAP_1608,2,22pF,C1653
CAP_3216,Capacitor 3216,"C27, C28, C29, C30, C31, C32",C3216_N,CAP_3216,6,22uF,C12891
SS2040FL,Schottky Rectifier SOD-123FL,"D1, D2",SOD-123F_N,SS2040FL,2,,C190475
PGB1010603,Transient Voltage Suppression (TVS) Diode,"D3, D4",TVS_1608_N,PGB1010603,2,,C10677
FB_1608,Ferrite Bead 1608,"FB1, FB2",L1608_N,FB_1608,2,120,C14709
AZ1117CH-3.3,Linear Voltage Regulator IC Positive Fixed 1 Output 1A SOT-223-3,PS1,SOT-223_N,AZ1117CH-3.3TRG1,1,,C6186
RES_AR3216,"Resistor Array, CAT16-J4 / EXB-V8V","R1, R2, R3, R4",AR8_3216_N,RES_AR3216,4,10,C425237
RES_1608,Resistor 1608,"R5, R6, R7, R8, R19",R1608_N,RES_1608,5,1K,C21190
RES_1608,Resistor 1608,"R9, R10, R11, R12, R13",R1608_N,RES_1608,5,100K,C25803
RES_1608,Resistor 1608,"R14, R15, R20, R21",R1608_N,RES_1608,4,10,C22859
RES_1608,Resistor 1608,R16,R1608_N,RES_1608,1,10K,C25804
RES_1608,Resistor 1608,R17,R1608_N,RES_1608,1,2.2K,C4190
RES_1608,Resistor 1608,R18,R1608_N,RES_1608,1,12KÅ}1%,C22790
RES_1608,Resistor 1608,R22,R1608_N,RES_1608,1,0,C21189
SN74AVC4T774PWR,4-Bit Dual-Supply Bus Transceiver With Configurable Voltage-Level  Shifting and 3-State Outputs With Independent Direction Control Inputs,"U1, U2, U3, U4",TSSOP-16_N,SN74AVC4T774PWR,4,,C129363
SN74LVC1T45DBVR,Single-Bit Dual-Supply Bus Transceiver With Configurable Voltage  Translation and 3-State Outputs,"U5, U6",SOT-23-6_N,SN74LVC1T45DBVR,2,,C7843
SN74LVC2G07DBVR,Dual Buffer and Driver With Open-Drain Outputs,U7,SOT-23-6_N,SN74LVC2G07DBVR,1,,C37708
FT2232HL,FT2232H Dual High Speed  USB to Multipurpose  UART/FIFO IC,U9,LQFP-64_P0.5_N,FT2232HL,1,,C27882
XTAL4_3225,"Crystal , OSC_3225 Oscillator Package",Y1,OSC_3225,XTAL4_3225,1,12MHz,C9002
